2026-06-21T16:18:32.510942300 | ANNOUNCE enviado | Lamport=1
2026-06-21T16:18:32.594060100 | SUCCESS recibido | Lamport=5
2026-06-21T16:18:32.599150400 | ANNOUNCE enviado | Lamport=6
2026-06-21T16:18:32.604167900 | SUCCESS recibido | Lamport=10
2026-06-21T22:04:08.820981900 | ANNOUNCE enviado | Lamport=1
2026-06-21T22:04:08.842022200 | SUCCESS recibido | Lamport=13
2026-06-21T22:04:08.844020900 | ANNOUNCE enviado | Lamport=14
2026-06-21T22:04:08.848020500 | SUCCESS recibido | Lamport=18
2026-06-21T22:05:42.987924300 | REQUEST enviado | Lamport=113
2026-06-21T22:05:42.996435600 | PEER_LIST recibido | Lamport=116
2026-06-21T22:05:43.023762400 | DOWNLOAD enviado (Intento 1) | Lamport=117
2026-06-21T22:05:43.116948600 | FILE_DATA recibido | Lamport=120
2026-06-21T22:08:12.566095800 | ANNOUNCE enviado | Lamport=1
2026-06-21T22:08:12.621464500 | SUCCESS recibido | Lamport=5
2026-06-21T22:08:12.624525200 | ANNOUNCE enviado | Lamport=6
2026-06-21T22:08:12.627849400 | SUCCESS recibido | Lamport=10
2026-06-21T22:08:38.211141800 | REQUEST enviado | Lamport=11
2026-06-21T22:08:38.254435700 | PEER_LIST recibido | Lamport=20
2026-06-21T22:08:38.288814 | DOWNLOAD enviado (Intento 1) | Lamport=21
2026-06-21T22:08:38.378730100 | FILE_DATA recibido | Lamport=24
2026-06-21T22:12:09.985445100 | ANNOUNCE enviado | Lamport=1
2026-06-21T22:12:10.045283400 | SUCCESS recibido | Lamport=5
2026-06-21T22:12:10.047879 | ANNOUNCE enviado | Lamport=6
2026-06-21T22:12:10.050967700 | SUCCESS recibido | Lamport=10
2026-06-21T22:13:11.218191300 | ANNOUNCE enviado | Lamport=1
2026-06-21T22:13:11.272968400 | SUCCESS recibido | Lamport=5
2026-06-21T22:13:11.276071800 | ANNOUNCE enviado | Lamport=6
2026-06-21T22:13:11.279125800 | SUCCESS recibido | Lamport=10
2026-06-21T22:13:31.703521300 | REQUEST enviado | Lamport=11
2026-06-21T22:13:31.734427900 | PEER_LIST recibido | Lamport=20
2026-06-21T22:13:31.783256300 | DOWNLOAD enviado (Intento 1) | Lamport=21
2026-06-21T22:13:31.875619900 | FILE_DATA recibido | Lamport=24
2026-06-21T22:13:53.267655600 | Inicio de elección | Lamport=25
